                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 1.00E+02/  final temp = 1.00E-07/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   8.606E-01   5.375E-01   7.231E-12   1.861E-25   1.861E-25   4.000E-25   1.861E-25   1.861E-25   1.861E-25   3.163E-24
 5.454E+01   7.581E-01   5.688E-01   3.358E-12   7.680E-24   8.610E-24   4.000E-25   1.758E-25   1.758E-25   1.758E-25   2.989E-24
 2.278E+01   5.290E-01   6.540E-01   1.403E-12   4.446E-24   5.692E-24   4.000E-25   1.529E-25   1.529E-25   1.529E-25   2.599E-24
 9.514E+00   3.041E-01   7.668E-01   1.214E-12   5.776E-23   7.484E-23   4.000E-25   1.304E-25   1.304E-25   1.304E-25   2.217E-24
 5.696E+00   2.356E-01   8.093E-01   2.710E-12   7.731E-21   6.933E-21   1.729E-18   1.236E-25   1.236E-25   1.236E-25   2.100E-24
 3.016E+00   2.007E-01   8.329E-01   4.378E-11   2.878E-15   7.617E-16   1.560E-13   1.201E-25   1.201E-25   1.201E-25   1.828E-21
 2.065E+00   1.899E-01   8.404E-01   1.003E-09   1.461E-10   1.051E-11   4.463E-09   1.190E-25   1.190E-25   1.190E-25   1.408E-20
 1.321E+00   1.739E-01   8.519E-01   3.972E-07   5.570E-08   3.940E-10   7.074E-07   5.811E-23   8.762E-20   2.839E-25   1.265E-20
 1.040E+00   1.594E-01   8.624E-01   4.449E-05   1.940E-06   2.775E-09   4.954E-05   8.658E-19   1.545E-14   1.882E-21   3.812E-20
 8.836E-01   1.322E-01   8.578E-01   2.087E-03   4.516E-05   3.879E-07   2.507E-02   1.604E-14   2.583E-10   8.293E-17   6.794E-15
 7.296E-01   3.243E-04   7.521E-01   5.525E-04   8.876E-06   7.516E-06   2.468E-01   3.337E-13   7.417E-10   3.175E-12   1.169E-15
 4.224E-01   1.805E-07   7.519E-01   3.612E-05   2.117E-07   9.181E-06   2.481E-01   1.566E-14   3.014E-11   4.400E-10   5.720E-15
 1.795E-01   1.438E-08   7.519E-01   2.613E-05   9.037E-08   1.008E-05   2.481E-01   9.842E-15   2.624E-11   4.305E-10   1.471E-15
 9.379E-02   1.206E-09   7.519E-01   2.559E-05   8.132E-08   1.027E-05   2.481E-01   1.077E-14   2.811E-11   4.270E-10   1.242E-15
 5.764E-02   7.926E-11   7.519E-01   2.554E-05   8.070E-08   1.029E-05   2.481E-01   1.107E-14   2.822E-11   4.268E-10   1.241E-15
 2.407E-02   2.095E-13   7.519E-01   2.553E-05   8.080E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.005E-02   1.528E-16   7.519E-01   2.553E-05   8.060E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 4.197E-03   2.121E-20   7.519E-01   2.553E-05   7.941E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.753E-03   3.124E-25   7.519E-01   2.553E-05   7.289E-08   1.030E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 7.318E-04   1.330E-25   7.519E-01   2.553E-05   4.462E-08   1.033E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.056E-04   1.330E-25   7.519E-01   2.553E-05   2.611E-09   1.037E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.575E-04   1.330E-25   7.519E-01   2.553E-05   1.020E-13   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.022E-04   1.330E-25   7.519E-01   2.553E-05   2.031E-18   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 4.269E-05   1.330E-25   7.519E-01   2.553E-05   2.150E-19   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.782E-05   1.330E-25   7.519E-01   2.553E-05   2.407E-20   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 7.685E-06   1.330E-25   7.519E-01   2.553E-05   2.946E-21   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 3.699E-06   1.330E-25   7.519E-01   2.553E-05   4.719E-22   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.541E-06   1.330E-25   7.519E-01   2.553E-05   5.285E-23   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 6.409E-07   1.330E-25   7.519E-01   2.553E-05   5.899E-24   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 2.663E-07   1.330E-25   7.519E-01   2.553E-05   6.564E-25   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 1.105E-07   1.330E-25   7.519E-01   2.553E-05   1.330E-25   1.038E-05   2.481E-01   1.110E-14   2.822E-11   4.268E-10   1.241E-15
 9.832E-08   1.330E-25   7.519E-01   2.553E-05   1.330E-25   1.038E-05   2.478E-01   1.110E-14   4.551E-10   4.268E-10   1.241E-15
 
    Temp         T          rhog        rhoe       rhone        rhob        phie         dt         eta          H          HeH/H
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   1.082E-02   8.418E+08   1.474E+09   2.210E+09   5.687E+01   6.509E-10   1.000E-04   1.689E-09   5.029E+01   1.861E-25
 5.454E+01   3.433E-02   7.449E+07   1.303E+08   1.954E+08   9.222E+00   6.896E-10   1.894E-03   1.688E-09   1.495E+01   2.646E-17
 2.278E+01   1.932E-01   2.265E+06   3.946E+06   5.911E+06   6.690E-01   7.997E-10   1.091E-02   1.681E-09   2.603E+00   7.346E-17
 9.514E+00   1.117E+00   6.898E+04   1.172E+05   1.748E+05   4.771E-02   9.706E-10   6.401E-02   1.644E-09   4.491E-01   9.255E-17
 5.696E+00   3.199E+00   8.862E+03   1.422E+04   2.114E+04   9.783E-03   1.086E-09   1.060E-01   1.572E-09   1.572E-01   9.635E-17
 3.016E+00   1.254E+01   6.964E+02   8.822E+02   1.345E+03   1.239E-03   1.382E-09   4.025E-01   1.341E-09   4.042E-02   9.788E-17
 2.065E+00   2.998E+01   1.529E+02   1.356E+02   2.286E+02   3.281E-04   1.907E-09   1.253E+00   1.107E-09   1.700E-02   9.778E-17
 1.321E+00   8.763E+01   2.567E+01   9.731E+00   2.556E+01   6.343E-05   4.279E-09   2.090E+00   8.160E-10   5.836E-03   9.709E-17
 1.040E+00   1.540E+02   9.834E+00   1.742E+00   8.077E+00   2.674E-05   9.450E-09   2.479E+00   7.064E-10   3.314E-03   1.277E-16
 8.836E-01   2.215E+02   5.131E+00   4.592E-01   3.849E+00   1.533E-05   1.994E-08   2.051E+00   6.600E-10   2.297E-03   1.656E-14
 7.296E-01   3.329E+02   2.385E+00   7.696E-02   1.683E+00   8.245E-06   6.163E-08   4.610E+00   6.302E-10   1.522E-03   1.199E-13
 4.224E-01   1.002E+03   2.680E-01   7.762E-05   1.826E-01   1.559E-06   1.015E-05   5.646E+01   6.140E-10   5.019E-04   1.201E-13
 1.795E-01   5.529E+03   8.735E-03   3.758E-11   5.950E-03   1.195E-07   6.575E+00   3.124E+02   6.139E-10   9.059E-05   1.201E-13
 9.379E-02   2.023E+04   6.513E-04   0.000E+00   4.437E-04   1.706E-08   1.702E+01   7.358E+02   6.139E-10   2.474E-05   1.201E-13
 5.764E-02   5.355E+04   9.292E-05   0.000E+00   6.329E-05   3.960E-09   1.702E+01   3.029E+03   6.139E-10   9.343E-06   1.201E-13
 2.407E-02   3.072E+05   2.825E-06   0.000E+00   1.924E-06   2.883E-10   1.702E+01   1.737E+04   6.139E-10   1.629E-06   1.201E-13
 1.005E-02   1.762E+06   8.590E-08   0.000E+00   5.851E-08   2.099E-11   1.702E+01   9.963E+04   6.139E-10   2.841E-07   1.201E-13
 4.197E-03   1.010E+07   2.612E-09   0.000E+00   1.779E-09   1.529E-12   1.702E+01   5.713E+05   6.139E-10   4.954E-08   1.201E-13
 1.753E-03   5.793E+07   7.941E-11   0.000E+00   5.409E-11   1.113E-13   1.702E+01   3.276E+06   6.139E-10   8.640E-09   1.201E-13
 7.318E-04   3.321E+08   2.414E-12   0.000E+00   1.644E-12   8.103E-15   1.702E+01   1.878E+07   6.139E-10   1.507E-09   1.201E-13
 3.056E-04   1.903E+09   7.340E-14   0.000E+00   4.999E-14   5.900E-16   1.702E+01   1.075E+08   6.139E-10   2.632E-10   1.201E-13
 1.575E-04   7.148E+09   5.183E-15   0.000E+00   3.530E-15   8.081E-17   1.702E+01   1.953E+08   6.139E-10   7.010E-11   1.201E-13
 1.022E-04   1.694E+10   9.200E-16   0.000E+00   6.266E-16   2.210E-17   1.702E+01   9.562E+08   6.139E-10   2.961E-11   1.201E-13
 4.269E-05   9.656E+10   2.795E-17   0.000E+00   1.904E-17   1.608E-18   1.702E+01   5.433E+09   6.139E-10   5.211E-12   1.201E-13
 1.782E-05   5.458E+11   8.488E-19   0.000E+00   5.782E-19   1.170E-19   1.702E+01   3.050E+10   6.139E-10   9.288E-13   1.201E-13
 7.685E-06   2.840E+12   2.937E-20   0.000E+00   2.000E-20   9.386E-21   1.702E+01   1.168E+11   6.139E-10   1.812E-13   1.201E-13
 3.699E-06   1.160E+13   1.576E-21   0.000E+00   1.073E-21   1.046E-21   1.702E+01   6.254E+11   6.139E-10   4.544E-14   1.201E-13
 1.541E-06   5.913E+13   4.743E-23   0.000E+00   3.231E-23   7.562E-23   1.702E+01   3.059E+12   6.139E-10   9.317E-15   1.201E-13
 6.409E-07   2.786E+14   1.420E-24   0.000E+00   9.673E-25   5.443E-24   1.702E+01   1.366E+13   6.139E-10   2.092E-15   1.201E-13
 2.663E-07   1.209E+15   4.232E-26   0.000E+00   2.883E-26   3.904E-25   1.702E+01   5.641E+13   6.139E-10   5.078E-16   1.201E-13
 1.105E-07   4.922E+15   1.257E-27   0.000E+00   8.564E-28   2.793E-26   1.702E+01   2.213E+14   6.139E-10   1.296E-16   1.201E-13
 9.832E-08   5.914E+15   7.866E-28   0.000E+00   5.358E-28   1.965E-26   1.702E+01   2.649E+14   6.139E-10   1.083E-16   1.201E-13




