    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   8.606E-01   5.375E-01   7.231E-12   1.861E-25   1.861E-25   4.000E-25   1.861E-25   1.861E-25   1.861E-25   3.163E-24
 4.794E+01   7.301E-01   5.780E-01   2.890E-12   6.404E-24   7.290E-24   4.000E-25   1.730E-25   1.730E-25   1.730E-25   2.941E-24
 2.002E+01   4.907E-01   6.708E-01   1.284E-12   4.943E-24   6.465E-24   4.000E-25   1.491E-25   1.491E-25   1.491E-25   2.534E-24
 8.674E+00   2.880E-01   7.764E-01   1.311E-12   1.085E-22   1.357E-22   4.149E-23   1.288E-25   1.288E-25   1.288E-25   2.190E-24
 4.667E+00   2.205E-01   8.193E-01   5.003E-12   1.528E-19   1.047E-19   4.778E-17   1.221E-25   1.221E-25   1.221E-25   2.732E-24
 2.713E+00   1.974E-01   8.351E-01   9.157E-11   7.105E-14   1.375E-14   2.576E-12   1.197E-25   1.197E-25   1.197E-25   6.124E-21
 1.733E+00   1.847E-01   8.441E-01   7.328E-09   1.160E-09   3.787E-11   3.622E-08   1.185E-25   9.955E-25   1.185E-25   1.320E-20
 1.224E+00   1.698E-01   8.548E-01   1.577E-06   1.948E-07   8.283E-10   1.995E-06   1.050E-21   4.038E-18   4.327E-24   1.255E-20
 9.847E-01   1.551E-01   8.652E-01   1.562E-04   4.613E-06   6.304E-09   2.712E-04   1.502E-17   2.673E-13   2.139E-20   1.293E-18
 8.491E-01   8.909E-02   8.219E-01   3.588E-03   7.314E-05   1.557E-06   9.883E-02   1.435E-13   1.700E-09   1.743E-15   4.640E-14
 6.848E-01   2.651E-05   7.519E-01   2.214E-04   2.865E-06   9.909E-06   2.477E-01   1.292E-13   2.629E-10   3.311E-11   1.162E-15
 3.362E-01   8.257E-08   7.519E-01   3.020E-05   1.442E-07   9.423E-06   2.481E-01   1.205E-14   2.502E-11   4.488E-10   4.349E-15
 1.440E-01   7.054E-09   7.519E-01   2.582E-05   8.556E-08   1.018E-05   2.481E-01   1.007E-14   2.729E-11   4.282E-10   1.279E-15
 8.178E-02   6.036E-10   7.519E-01   2.557E-05   8.088E-08   1.028E-05   2.481E-01   1.091E-14   2.817E-11   4.269E-10   1.241E-15
 4.462E-02   1.566E-11   7.519E-01   2.553E-05   8.077E-08   1.030E-05   2.481E-01   1.109E-14   2.823E-11   4.268E-10   1.241E-15
 1.863E-02   2.911E-14   7.519E-01   2.553E-05   8.078E-08   1.030E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 7.780E-03   1.372E-17   7.519E-01   2.553E-05   8.043E-08   1.030E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 3.249E-03   1.056E-21   7.519E-01   2.553E-05   7.845E-08   1.030E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 1.357E-03   1.330E-25   7.519E-01   2.553E-05   6.801E-08   1.031E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 5.664E-04   1.330E-25   7.519E-01   2.553E-05   2.997E-08   1.035E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 2.365E-04   1.330E-25   7.519E-01   2.553E-05   2.402E-10   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 1.411E-04   1.330E-25   7.519E-01   2.553E-05   3.120E-15   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 7.912E-05   1.330E-25   7.519E-01   2.553E-05   1.024E-18   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 3.303E-05   1.330E-25   7.519E-01   2.553E-05   1.129E-19   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 1.379E-05   1.330E-25   7.519E-01   2.553E-05   1.267E-20   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 6.528E-06   1.330E-25   7.519E-01   2.553E-05   1.961E-21   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 2.853E-06   1.330E-25   7.519E-01   2.553E-05   2.465E-22   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 1.188E-06   1.330E-25   7.519E-01   2.553E-05   2.758E-23   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 4.939E-07   1.330E-25   7.519E-01   2.553E-05   3.076E-24   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 2.051E-07   1.330E-25   7.519E-01   2.553E-05   3.420E-25   1.038E-05   2.481E-01   1.110E-14   2.823E-11   4.268E-10   1.241E-15
 9.860E-08   1.330E-25   7.519E-01   2.553E-05   1.330E-25   1.038E-05   2.478E-01   1.110E-14   4.551E-10   4.268E-10   1.241E-15
